af_za	afr_ZA
ar_sa	ara_SA
ast_es	ast_ES
az_az	aze_AZ
bar	bar_DE
ba_ru	bak_RU
be_by	bel_BY
bg_bg	bul_BG
brb	qbr_NL
br_fr	bre_FR
bs_ba	bos_BA
ca_es	cat_ES
cs_cz	ces_CZ
cy_gb	cym_GB
da_dk	dan_DK
de_at	bar_AT
de_ch	gsw_CH
de_de	deu_DE
el_gr	ell_GR
enp	qep
enws	qes
en_au	eng_AU
en_ca	eng_CA
en_gb	eng_GB
en_nz	eng_NZ
en_pt	qpe
en_ud	eng-Qabs_GB
eo_uy	epo
esan	spa_ES-AN
es_ar	spa_AR
es_cl	spa_CL
es_ec	spa_EC
es_es	spa_ES
es_mx	spa_MX
es_uy	spa_UY
es_ve	spa_VE
et_ee	est_EE
eu_es	eus_ES
fa_ir	fas_IR
fil_ph	fil_PH
fi_fi	fin_FI
fo_fo	fao_FO
fra_de	vmf_DE
fr_ca	fra_CA
fr_fr	fra_FR
fur_it	fur_IT
fy_nl	fry_NL
ga_ie	gle_IE
gd_gb	gla_GB
gl_es	glg_ES
haw_us	haw_US
he_il	heb_IL
hi_in	hin_IN
hr_hr	hrv_HR
hu_hu	hun_HU
hy_am	hye_AM
id_id	ind_ID
ig_ng	ibo_NG
io_en	ido
isv	qis
is_is	isl_IS
it_it	ita_IT
ja_jp	jpn_JP
jbo_en	jbo
ka_ge	kat_GE
kk_kz	kaz_KZ
kn_in	kan_IN
ko_kr	kor_KR
ksh	ksh_DE
kw_gb	cor_GB
la_la	lat_VA
lb_lu	ltz_LU
li_li	lim_NL
lmo	lmo_IT
lol_us	qll
lo_la	lao_LA
lt_lt	lit_LT
lv_lv	lav_LV
lzh	lzh
mk_mk	mkd_MK
mn_mn	mon_MN
ms_my	zlm_MY
mt_mt	mlt_MT
nah	nhe_MX
nds_de	nds_DE
nl_be	nld_BE
nl_nl	nld_NL
nn_no	nno_NO
no_no	nob_NO
oc_fr	oci_FR
ovd	ovd_SE
pl_pl	pol_PL
pt_br	por_BR
pt_pt	por_PT
qya_aa	qya
ro_ro	ron_RO
rpr	qpr
ru_ru	rus_RU
ry_ua	rue_UA
sah_sah	sah_RU
se_no	sme_NO
sk_sk	slk_SK
sl_si	slv_SI
so_so	som_SO
sq_al	sqi_AL
sr_sp	srp-Cyrl_RS
sv_se	swe_SE
sxu	sxu_DE
szl	szl_PL
ta_in	tam_IN
th_th	tha_TH
tlh_aa	tlh
tl_ph	tgl_PH
tok	tok
tr_tr	tur_TR
tt_ru	tat_RU
uk_ua	ukr_UA
val_es	cat_ES-VC
vec_it	vec_IT
vi_vn	vie_VN
yi_de	yid_IL
yo_ng	yor_NG
zh_cn	zho-Hans_CN
zh_hk	zho-Hant_HK
zh_tw	zho-Hant_TW
zlm_arab	zlm-Arab_MY
